"PersonId","Internal_network_size","Collaboration_hours","weekend_collaboration_hours","After_hours_call_hours","performance"
"SYNTH_RF_0005",26,8.38,0.25,1.15,2
"SYNTH_RF_0005",30,12.84,1.15,0.06,2
"SYNTH_RF_0005",32,6.13,0.22,0.16,2
"SYNTH_RF_0005",44,10.48,0.64,0.28,2
"SYNTH_RF_0006",47,13.24,0.39,0.38,3
"SYNTH_RF_0006",43,17.51,0.51,0.33,3
"SYNTH_RF_0006",44,12.15,0.27,0.15,3
"SYNTH_RF_0006",34,13.11,0.24,1.29,3
"SYNTH_RF_0006",24,8.85,0.1,0.13,3
"SYNTH_RF_0006",25,8.67,0.11,0.47,3
"SYNTH_RF_0006",27,13.4,1.37,0.35,3
"SYNTH_RF_0006",21,7.15,1.21,0.23,3
"SYNTH_RF_0007",31,12.5,0.34,0.35,3
"SYNTH_RF_0007",38,14.13,0.04,1.04,3
"SYNTH_RF_0007",38,7.6,0.14,0.16,3
"SYNTH_RF_0007",32,12.09,0.12,0.39,3
"SYNTH_RF_0007",38,15.53,0.12,0.1,3
"SYNTH_RF_0007",29,11.48,0.71,0.02,3
"SYNTH_RF_0007",41,13.18,0.49,0.16,3
"SYNTH_RF_0007",31,13.56,0.24,0.05,3
"SYNTH_RF_0008",37,13.7,0.03,0.53,1
"SYNTH_RF_0008",26,19.11,0.05,0.39,1
"SYNTH_RF_0008",35,7.93,0.16,0.02,1
"SYNTH_RF_0008",31,13.6,1.1,1,1
"SYNTH_RF_0008",45,10.2,0.37,0.35,1
"SYNTH_RF_0008",33,10.36,0.2,0.17,1
"SYNTH_RF_0008",27,11.99,0.46,0.12,1
"SYNTH_RF_0008",38,14.44,0.75,0.08,1
"SYNTH_RF_0009",30,4.81,0.04,0.38,1
"SYNTH_RF_0009",30,16.55,0.04,0.66,1
"SYNTH_RF_0009",21,12.28,0.21,0.35,1
"SYNTH_RF_0009",39,11.28,0.07,0.01,1
"SYNTH_RF_0009",21,8.84,0.21,0.12,1
"SYNTH_RF_0009",27,12.66,0.13,0.28,1
"SYNTH_RF_0009",30,9.44,0.54,0.13,1
"SYNTH_RF_0009",26,8.03,0.1,0.17,1
"SYNTH_RF_0010",38,10.13,0.49,0.09,2
"SYNTH_RF_0010",25,8.06,0.65,0.61,2
"SYNTH_RF_0010",38,11.5,0.82,0.29,2
"SYNTH_RF_0010",37,12.12,0.68,0.87,2
"SYNTH_RF_0010",36,9.32,0.17,0.02,2
"SYNTH_RF_0010",33,14.47,1.02,0.64,2
"SYNTH_RF_0010",35,9.9,0.36,0.07,2
"SYNTH_RF_0010",35,8.25,0.32,0.14,2
"SYNTH_RF_0011",28,6.54,0.04,0.12,1
"SYNTH_RF_0011",23,9.22,0.15,0.59,1
"SYNTH_RF_0011",27,12.28,0.61,0.25,1
"SYNTH_RF_0011",34,11.9,0.67,0.18,1
"SYNTH_RF_0011",34,7.15,0.17,0.31,1
"SYNTH_RF_0011",30,10.87,0.64,0.11,1
"SYNTH_RF_0011",26,11.5,0.01,0.21,1
"SYNTH_RF_0011",30,12.27,0.26,0.38,1
"SYNTH_RF_0012",29,12.99,0.23,0.11,4
"SYNTH_RF_0012",29,13.13,0.54,1.51,4
"SYNTH_RF_0012",24,11.88,0.09,0.02,4
"SYNTH_RF_0012",29,11.17,0.49,0.05,4
"SYNTH_RF_0012",31,13.06,0.25,0.42,4
"SYNTH_RF_0012",30,10.02,0.77,0.64,4
"SYNTH_RF_0012",36,10.71,0.07,0.02,4
"SYNTH_RF_0012",34,6.82,0.07,0.05,4
"SYNTH_RF_0013",33,13.3,0.29,0.86,1
"SYNTH_RF_0013",39,8.86,0.48,0.01,1
"SYNTH_RF_0013",27,14.29,0.26,0.18,1
"SYNTH_RF_0013",29,12.63,0.32,0.11,1
"SYNTH_RF_0013",25,10.46,1.5,0.23,1
"SYNTH_RF_0013",35,13.08,0.31,0.07,1
"SYNTH_RF_0013",29,9.99,0.52,0.27,1
"SYNTH_RF_0013",43,12.84,0.22,0.22,1
"SYNTH_RF_0014",27,11.75,1,0.2,4
"SYNTH_RF_0014",30,13.08,2.15,0.26,4
"SYNTH_RF_0014",44,10.29,2.35,0.01,4
"SYNTH_RF_0014",27,8.77,0.15,0.12,4
"SYNTH_RF_0014",26,8.3,0.28,0.06,4
"SYNTH_RF_0014",40,11.74,0.95,1.6,4
"SYNTH_RF_0014",20,10.07,0.02,0.02,4
"SYNTH_RF_0014",52,12.93,0.11,0.15,4
"SYNTH_RF_0015",30,9.96,0.3,0.27,3
"SYNTH_RF_0015",38,15.84,0.9,1.47,3
"SYNTH_RF_0015",30,12.37,2.41,0.53,3
"SYNTH_RF_0015",29,12.95,0.9,0.39,3
"SYNTH_RF_0015",40,11.44,2.64,0.36,3
"SYNTH_RF_0015",37,14.26,1.19,0.21,3
"SYNTH_RF_0015",29,10.51,0.33,0.11,3
"SYNTH_RF_0015",38,17.24,1.38,0.17,3
"SYNTH_RF_0016",38,10.7,0.02,0.2,1
"SYNTH_RF_0016",31,15.69,0.88,1.11,1
"SYNTH_RF_0016",36,11.56,0.24,0.11,1
"SYNTH_RF_0016",34,7.45,1.91,0.13,1
"SYNTH_RF_0016",34,9.44,0.59,0.56,1
"SYNTH_RF_0016",39,17.29,1.45,0.35,1
"SYNTH_RF_0016",34,13.8,0.59,0.51,1
"SYNTH_RF_0016",26,9.44,0.08,0.23,1
"SYNTH_RF_0017",32,8.15,0.09,0.22,4
"SYNTH_RF_0017",31,11.08,0.16,0.16,4
"SYNTH_RF_0017",36,11.59,0.34,0.36,4
"SYNTH_RF_0017",47,10.01,0.23,0.15,4
"SYNTH_RF_0017",31,8.77,1.47,0.16,4
"SYNTH_RF_0017",33,11.3,0.04,0.14,4
"SYNTH_RF_0017",36,10.07,0.12,0.24,4
"SYNTH_RF_0017",34,12.59,0.22,0.15,4
"SYNTH_RF_0018",30,10.97,1.77,0,1
"SYNTH_RF_0018",33,18.09,0.28,0.61,1
"SYNTH_RF_0018",29,7.33,1.02,0.68,1
"SYNTH_RF_0018",27,8.12,0.05,0.5,1
"SYNTH_RF_0018",30,12.34,0.58,0.2,1
"SYNTH_RF_0018",31,13.34,0.83,0.52,1
"SYNTH_RF_0018",25,16.63,0.46,0.27,1
"SYNTH_RF_0018",32,10.83,0.05,0.16,1
"SYNTH_RF_0019",28,12.16,0.03,0.81,1
"SYNTH_RF_0019",30,8.97,0.3,0.23,1
"SYNTH_RF_0019",23,11.5,0.04,0.07,1
"SYNTH_RF_0019",32,8.9,0.28,0.32,1
"SYNTH_RF_0019",27,9.06,0.75,0.02,1
"SYNTH_RF_0019",27,11.95,0.03,0.28,1
"SYNTH_RF_0019",32,10.56,0.33,0.01,1
"SYNTH_RF_0019",34,12.27,1.38,0.85,1
"SYNTH_RF_0020",48,12.43,0.74,0.3,5
"SYNTH_RF_0020",46,12.77,0.49,0.46,5
"SYNTH_RF_0020",49,14.86,1.8,0.74,5
"SYNTH_RF_0020",40,12.54,0.08,0.61,5
"SYNTH_RF_0020",34,16.06,2.71,0.23,5
"SYNTH_RF_0020",42,12.09,0.04,0.4,5
"SYNTH_RF_0020",50,15.98,0.73,0.31,5
"SYNTH_RF_0020",57,13.2,0.86,0.13,5
"SYNTH_RF_0021",28,10.88,1.35,1.25,2
"SYNTH_RF_0021",35,15.41,0.65,1.08,2
"SYNTH_RF_0021",35,11.46,0.73,0.2,2
"SYNTH_RF_0021",32,18.98,0.42,0.07,2
"SYNTH_RF_0021",22,10.91,0.48,0.13,2
"SYNTH_RF_0021",28,19.58,0.43,0.77,2
"SYNTH_RF_0021",34,9.09,0.36,0.39,2
"SYNTH_RF_0021",38,5.41,0.03,0.12,2
"SYNTH_RF_0022",37,13.16,0.75,0.76,2
"SYNTH_RF_0022",37,12.07,1.25,0.11,2
"SYNTH_RF_0022",36,15.24,0.22,0.17,2
"SYNTH_RF_0022",36,11.26,0.53,0.02,2
"SYNTH_RF_0022",33,10.59,0.04,0.25,2
"SYNTH_RF_0022",30,12.55,0.21,0.52,2
"SYNTH_RF_0022",35,15.2,0.18,0.94,2
"SYNTH_RF_0022",39,11.71,0.11,0.23,2
"SYNTH_RF_0023",44,12.36,0.57,0.17,3
"SYNTH_RF_0023",26,11.87,1.68,1.71,3
"SYNTH_RF_0023",36,14.47,0.23,0.49,3
"SYNTH_RF_0023",34,11.01,0.6,0.6,3
"SYNTH_RF_0023",34,12.53,0.67,0.44,3
"SYNTH_RF_0023",37,18.09,0.74,0.12,3
"SYNTH_RF_0023",36,16.52,0.25,0.11,3
"SYNTH_RF_0023",22,12.14,0.28,0.4,3
"SYNTH_RF_0024",44,18.42,0.26,2.03,4
"SYNTH_RF_0024",39,11.88,0.04,0.46,4
"SYNTH_RF_0024",41,15.47,0.8,0.1,4
"SYNTH_RF_0024",42,13.26,0.32,0.58,4
"SYNTH_RF_0024",43,8.27,0.46,0.13,4
"SYNTH_RF_0024",37,8.15,0.39,0.21,4
"SYNTH_RF_0024",42,13.6,0.05,0.39,4
"SYNTH_RF_0024",37,15.89,1.79,0.09,4
"SYNTH_RF_0025",37,11.28,0.04,0.04,4
"SYNTH_RF_0025",25,18.22,0.39,0.03,4
"SYNTH_RF_0025",29,10.71,0.14,0.1,4
"SYNTH_RF_0025",42,12.45,0.11,0.59,4
"SYNTH_RF_0025",27,12.34,0.29,0.02,4
"SYNTH_RF_0025",21,15.27,0.33,0.58,4
"SYNTH_RF_0025",34,13.99,0.25,0.16,4
"SYNTH_RF_0025",44,13.9,0.36,0.23,4
"SYNTH_RF_0026",48,14.43,1.16,0.05,5
"SYNTH_RF_0026",42,5.8,0.14,0.1,5
"SYNTH_RF_0026",36,13.35,1.25,1.01,5
"SYNTH_RF_0026",44,14.05,0.15,1.23,5
"SYNTH_RF_0026",49,14.98,0.05,1.81,5
"SYNTH_RF_0026",35,11.53,0.14,0.1,5
"SYNTH_RF_0026",42,14.68,0.7,0.19,5
"SYNTH_RF_0026",41,10.39,0.19,0.04,5
"SYNTH_RF_0027",34,15.08,0.73,0.07,5
"SYNTH_RF_0027",35,13.35,1.04,0.4,5
"SYNTH_RF_0027",45,10.29,0.22,0.47,5
"SYNTH_RF_0027",53,9.25,1.03,0,5
"SYNTH_RF_0027",36,15.66,0.82,0.46,5
"SYNTH_RF_0027",44,15.02,0.14,0.02,5
"SYNTH_RF_0027",47,13.69,0.14,0.12,5
"SYNTH_RF_0027",57,11.87,0.31,0.21,5
"SYNTH_RF_0028",26,15.36,0.08,0.13,1
"SYNTH_RF_0028",29,13.59,0.03,0.32,1
"SYNTH_RF_0028",28,11.26,0.09,0.37,1
"SYNTH_RF_0028",24,15.14,1.86,0.01,1
"SYNTH_RF_0028",28,6.37,0.36,1.06,1
"SYNTH_RF_0028",26,15.45,0.07,0.06,1
"SYNTH_RF_0028",39,15.47,0.67,0.16,1
"SYNTH_RF_0028",30,7.86,0.6,0.27,1
"SYNTH_RF_0029",41,12.93,0.77,0.71,4
"SYNTH_RF_0029",28,11.48,0.02,0.06,4
"SYNTH_RF_0029",31,8.82,0.44,0.21,4
"SYNTH_RF_0029",33,12.21,0.1,0.34,4
"SYNTH_RF_0029",34,16.08,1.23,0.22,4
"SYNTH_RF_0029",33,18.03,1.63,0.12,4
"SYNTH_RF_0029",29,8.08,1.33,0.2,4
"SYNTH_RF_0029",37,11.95,0.51,0.27,4
"SYNTH_RF_0030",60,13.88,1.19,0.73,4
"SYNTH_RF_0030",46,18.35,0.28,0.75,4
"SYNTH_RF_0030",30,9.88,0.19,0.47,4
"SYNTH_RF_0030",47,13.5,0.16,0.02,4
"SYNTH_RF_0030",44,13.29,0.25,0.33,4
"SYNTH_RF_0030",56,11.87,0.4,0.34,4
"SYNTH_RF_0030",38,17.81,0.38,0.08,4
"SYNTH_RF_0030",58,15.37,0.04,0.13,4
"SYNTH_RF_0031",34,2.7,0.29,0.29,1
"SYNTH_RF_0031",36,11.09,0.38,0.03,1
"SYNTH_RF_0031",31,5.3,0.11,0.28,1
"SYNTH_RF_0031",31,14.47,0.42,0.03,1
"SYNTH_RF_0031",27,14.3,0.73,1.4,1
"SYNTH_RF_0031",28,8.79,0.53,0.05,1
"SYNTH_RF_0031",29,10.02,0.01,1.15,1
"SYNTH_RF_0031",30,12.13,0.04,0.24,1
"SYNTH_RF_0032",36,16.31,0.93,0.29,4
"SYNTH_RF_0032",37,12.34,0.54,0.01,4
"SYNTH_RF_0032",30,9.55,0.4,0.11,4
"SYNTH_RF_0032",35,7.85,0.16,0.28,4
"SYNTH_RF_0032",32,13.51,0.2,0.36,4
"SYNTH_RF_0032",38,12.21,0.06,0.89,4
"SYNTH_RF_0032",36,13.81,0.54,0.08,4
"SYNTH_RF_0032",48,15.37,0.86,0.04,4
"SYNTH_RF_0033",46,12.72,0.38,0.28,2
"SYNTH_RF_0033",39,14.56,0.35,0.45,2
"SYNTH_RF_0033",29,12.8,0.43,0.3,2
"SYNTH_RF_0033",36,9.43,0.95,0.79,2
"SYNTH_RF_0033",27,11.85,0.34,0.45,2
"SYNTH_RF_0033",41,13.27,0.11,0.86,2
"SYNTH_RF_0033",38,11.57,0.57,1.2,2
"SYNTH_RF_0033",42,7.8,0.35,0.1,2
"SYNTH_RF_0034",35,13.58,0.24,1.27,4
"SYNTH_RF_0034",32,17.85,0.2,0.06,4
"SYNTH_RF_0034",47,14.7,0.37,0.01,4
"SYNTH_RF_0034",33,10.65,0.31,0.32,4
"SYNTH_RF_0034",39,10.21,0.6,1.41,4
"SYNTH_RF_0034",43,16.92,1.66,0.26,4
"SYNTH_RF_0034",40,10.71,0.35,0.04,4
"SYNTH_RF_0034",49,14.89,0.46,0.78,4
"SYNTH_RF_0035",33,16.34,0.07,0.9,3
"SYNTH_RF_0035",42,18.96,0.11,0.03,3
"SYNTH_RF_0035",34,7.82,0.21,0.27,3
"SYNTH_RF_0035",39,11.92,0.45,0.03,3
"SYNTH_RF_0035",44,13.89,0.21,0.19,3
"SYNTH_RF_0035",51,7.54,0.8,0.47,3
"SYNTH_RF_0035",41,11.45,0,0.01,3
"SYNTH_RF_0035",40,13.79,1.87,0.02,3
"SYNTH_RF_0036",37,6.38,0.79,0.19,1
"SYNTH_RF_0036",32,10.43,0.16,0.11,1
"SYNTH_RF_0036",40,8.88,0.47,0.27,1
"SYNTH_RF_0036",39,13.36,0.07,0.76,1
"SYNTH_RF_0036",42,15.85,0.23,0.08,1
"SYNTH_RF_0036",36,14.48,0.1,0.63,1
"SYNTH_RF_0036",40,12.2,0.07,0.28,1
"SYNTH_RF_0036",37,14.62,0.03,0.28,1
"SYNTH_RF_0037",47,14.63,0.25,0.32,2
"SYNTH_RF_0037",45,10.02,0.41,0.2,2
"SYNTH_RF_0037",38,15.96,0.21,0.77,2
"SYNTH_RF_0037",51,13.56,0.58,0.08,2
"SYNTH_RF_0037",35,12.2,0.23,0.29,2
"SYNTH_RF_0037",34,15.61,0.36,0.23,2
"SYNTH_RF_0037",45,6.58,0.91,0.41,2
"SYNTH_RF_0037",33,10.63,0.09,0.45,2
"SYNTH_RF_0038",41,8.04,0.16,0.16,4
"SYNTH_RF_0038",45,17.17,0.29,0.11,4
"SYNTH_RF_0038",36,9.2,0.61,0.44,4
"SYNTH_RF_0038",43,11.88,1.16,0.38,4
"SYNTH_RF_0038",62,11.67,0.26,0.37,4
"SYNTH_RF_0038",33,8.9,0.47,0.01,4
"SYNTH_RF_0038",31,17.86,0.25,0.59,4
"SYNTH_RF_0038",34,15.52,0.63,0.21,4
"SYNTH_RF_0039",39,15.47,0.13,0.17,5
"SYNTH_RF_0039",34,9.72,0.57,0.31,5
"SYNTH_RF_0039",47,11.78,0.19,0.11,5
"SYNTH_RF_0039",44,12.21,1.34,0.02,5
"SYNTH_RF_0039",37,13.51,0.08,0.28,5
"SYNTH_RF_0039",33,11.36,0.24,0.02,5
"SYNTH_RF_0039",45,11.02,0.25,0.04,5
"SYNTH_RF_0039",33,15.47,0.29,0.09,5
"SYNTH_RF_0040",31,5.65,0.99,0.34,2
"SYNTH_RF_0040",28,9.94,0.35,0.83,2
"SYNTH_RF_0040",37,10.55,0.32,0.06,2
"SYNTH_RF_0040",33,10.68,0.31,0.18,2
"SYNTH_RF_0040",29,12.12,0.31,0.11,2
"SYNTH_RF_0040",29,15.52,0.15,0.93,2
"SYNTH_RF_0040",28,12.86,1.28,0.65,2
"SYNTH_RF_0040",30,10.81,0.08,1.21,2
"SYNTH_RF_0041",34,8.42,0.14,0.01,3
"SYNTH_RF_0041",25,10.57,0.88,0.08,3
"SYNTH_RF_0041",34,11.25,0.31,0.18,3
"SYNTH_RF_0041",33,14.01,0.5,0.89,3
"SYNTH_RF_0041",24,8.11,0.36,0.68,3
"SYNTH_RF_0041",44,12.01,0.05,0.03,3
"SYNTH_RF_0041",43,12.37,2.98,0,3
"SYNTH_RF_0041",34,7.92,1.15,0.22,3
"SYNTH_RF_0042",31,7.32,0.08,0.06,1
"SYNTH_RF_0042",28,11.22,0.11,0.21,1
"SYNTH_RF_0042",33,13.06,1.1,0.25,1
"SYNTH_RF_0042",19,12.52,0.32,1.32,1
"SYNTH_RF_0042",42,9.58,1.34,0.08,1
"SYNTH_RF_0042",32,9.46,0.75,1.82,1
"SYNTH_RF_0042",27,9.99,0.14,0.43,1
"SYNTH_RF_0042",40,13.06,0.31,0.14,1
"SYNTH_RF_0043",34,13.91,0.45,0.01,4
"SYNTH_RF_0043",29,7.88,0.56,0.08,4
"SYNTH_RF_0043",23,12.03,0.85,0.62,4
"SYNTH_RF_0043",33,12.87,0,0.31,4
"SYNTH_RF_0043",29,4.24,0.02,0.18,4
"SYNTH_RF_0043",38,5.83,0.1,0.28,4
"SYNTH_RF_0043",33,18.31,0.44,0.42,4
"SYNTH_RF_0043",36,11.53,0.47,0.75,4
"SYNTH_RF_0044",41,14.01,0.06,0.68,3
"SYNTH_RF_0044",33,12.11,0.3,0.03,3
"SYNTH_RF_0044",36,8.57,0.18,0.25,3
"SYNTH_RF_0044",29,11.8,0.44,0.2,3
"SYNTH_RF_0044",38,13.34,0.26,0.01,3
"SYNTH_RF_0044",34,11.35,0.57,0.24,3
"SYNTH_RF_0044",37,7,0.16,0.05,3
"SYNTH_RF_0044",41,9.93,0.16,0.03,3
"SYNTH_RF_0045",42,9.82,0.11,0.18,3
"SYNTH_RF_0045",35,12.14,0.15,0.18,3
"SYNTH_RF_0045",39,16.14,1.22,0.58,3
"SYNTH_RF_0045",44,13.8,0.13,0.15,3
"SYNTH_RF_0045",47,14.98,0.05,0.14,3
"SYNTH_RF_0045",33,19.17,0.74,0.52,3
"SYNTH_RF_0045",45,10.44,0.32,0.27,3
"SYNTH_RF_0045",34,14.84,0.27,0.02,3
"SYNTH_RF_0046",26,8.68,0.09,0.06,1
"SYNTH_RF_0046",25,7.53,0.37,2.01,1
"SYNTH_RF_0046",24,8.18,0.79,0.36,1
"SYNTH_RF_0046",28,8.27,0.7,0.05,1
"SYNTH_RF_0046",21,14.02,0.62,0.05,1
"SYNTH_RF_0046",21,11.53,0.04,0.1,1
"SYNTH_RF_0046",35,9.96,0.14,0.08,1
"SYNTH_RF_0046",19,9,1.01,0.23,1
"SYNTH_RF_0047",38,14.93,0.1,0.11,5
"SYNTH_RF_0047",39,10.52,0.18,0.21,5
"SYNTH_RF_0047",52,15.73,0.26,0.49,5
"SYNTH_RF_0047",41,16.41,0.01,0.01,5
"SYNTH_RF_0047",44,12.72,0.19,0.3,5
"SYNTH_RF_0047",33,10.49,0.01,0.48,5
"SYNTH_RF_0047",35,17.71,1.97,0.38,5
"SYNTH_RF_0047",41,15.46,1.51,0.69,5
"SYNTH_RF_0048",28,13.75,0.61,1.07,1
"SYNTH_RF_0048",32,6.14,0.12,0.63,1
"SYNTH_RF_0048",32,4.19,0.32,0.04,1
"SYNTH_RF_0048",33,11.72,1.19,0.01,1
"SYNTH_RF_0048",32,11.03,0.88,0.08,1
"SYNTH_RF_0048",22,9.97,0.27,0.01,1
"SYNTH_RF_0048",37,7.47,0.04,0.03,1
"SYNTH_RF_0048",27,11.76,0.05,0.35,1
"SYNTH_RF_0049",46,10.27,0.15,0.26,2
"SYNTH_RF_0049",25,13.67,0.1,0.25,2
"SYNTH_RF_0049",33,14.77,0.36,0.37,2
"SYNTH_RF_0049",27,10.62,0.05,0.28,2
"SYNTH_RF_0049",33,14.26,0.35,0.31,2
"SYNTH_RF_0049",33,15.39,0.13,0.74,2
"SYNTH_RF_0049",37,11.41,0.53,0.11,2
"SYNTH_RF_0049",30,11.13,1.34,0.25,2
"SYNTH_RF_0050",27,9.18,0.1,0.09,2
"SYNTH_RF_0050",39,13.3,0.18,0.04,2
"SYNTH_RF_0050",48,11.83,0.17,1.09,2
"SYNTH_RF_0050",34,8.1,0.14,0.2,2
"SYNTH_RF_0050",46,15.24,0.32,0.91,2
"SYNTH_RF_0050",35,10.96,0.14,0.04,2
"SYNTH_RF_0050",33,6.17,0.43,0.01,2
"SYNTH_RF_0050",37,11.45,0.01,0.62,2
"SYNTH_RF_0051",36,6.72,0.7,0.42,3
"SYNTH_RF_0051",30,14.21,0.97,0.7,3
"SYNTH_RF_0051",38,12.33,0.45,0.05,3
"SYNTH_RF_0051",33,16.04,0.47,0.21,3
"SYNTH_RF_0051",33,10.02,0.46,0.03,3
"SYNTH_RF_0051",36,17.84,0.12,0.39,3
"SYNTH_RF_0051",43,9.85,0.21,0.4,3
"SYNTH_RF_0051",39,8.97,0.2,0.3,3
"SYNTH_RF_0052",33,7.79,0.17,0.27,3
"SYNTH_RF_0052",33,10.92,0.5,0.12,3
"SYNTH_RF_0052",42,11.2,0.07,0.15,3
"SYNTH_RF_0052",31,6.1,0.12,0.47,3
"SYNTH_RF_0052",30,9.52,0.13,0.02,3
"SYNTH_RF_0052",28,15.76,0.66,0.01,3
"SYNTH_RF_0052",38,10.26,0.86,0.36,3
"SYNTH_RF_0052",23,9.97,0.3,0.37,3
"SYNTH_RF_0053",45,10.07,0.11,0.12,5
"SYNTH_RF_0053",47,8.88,0.08,0.38,5
"SYNTH_RF_0053",31,11.6,0.67,0.14,5
"SYNTH_RF_0053",47,8.79,1.49,0.33,5
"SYNTH_RF_0053",33,13.93,0.06,0.08,5
"SYNTH_RF_0053",36,11.76,0.73,0.9,5
"SYNTH_RF_0053",35,14.32,1.28,0,5
"SYNTH_RF_0053",37,10.96,0.02,0.16,5
"SYNTH_RF_0054",29,7.74,0.17,0.01,1
"SYNTH_RF_0054",39,12.42,0.45,0.53,1
"SYNTH_RF_0054",31,8.79,0.76,0.62,1
"SYNTH_RF_0054",24,9.96,0.23,0.04,1
"SYNTH_RF_0054",26,7.31,0.07,1.18,1
"SYNTH_RF_0054",25,10.11,1.96,0.75,1
"SYNTH_RF_0054",39,6.71,0.2,0.14,1
"SYNTH_RF_0054",38,13.78,0.02,0.56,1
"SYNTH_RF_0055",33,10.36,0.59,0.19,5
"SYNTH_RF_0055",36,9.08,0.2,0.22,5
"SYNTH_RF_0055",37,17.1,0.61,0.21,5
"SYNTH_RF_0055",37,12.2,0.43,0.46,5
"SYNTH_RF_0055",35,6.16,0.13,0.36,5
"SYNTH_RF_0055",35,10.99,0.13,1.45,5
"SYNTH_RF_0055",49,17.08,0.43,0.02,5
"SYNTH_RF_0055",30,14.43,0.13,1.78,5
"SYNTH_RF_0056",33,9.17,0.8,1.45,5
"SYNTH_RF_0056",40,12.34,0.7,0.16,5
"SYNTH_RF_0056",36,15.89,0.04,0.02,5
"SYNTH_RF_0056",37,14.87,1.14,1.03,5
"SYNTH_RF_0056",44,8.8,1.06,1.15,5
"SYNTH_RF_0056",30,16.91,0.34,0.85,5
"SYNTH_RF_0056",30,9.58,0.02,0.63,5
"SYNTH_RF_0056",36,12.68,1.29,0.45,5
"SYNTH_RF_0057",29,15.27,0,0.08,3
"SYNTH_RF_0057",37,13.03,0.4,0.61,3
"SYNTH_RF_0057",31,8.83,0.72,0.17,3
"SYNTH_RF_0057",34,14.82,0,0.01,3
"SYNTH_RF_0057",26,13.09,0.22,0.16,3
"SYNTH_RF_0057",20,11.47,0,0.61,3
"SYNTH_RF_0057",36,10.59,0.54,0.2,3
"SYNTH_RF_0057",31,14.48,0.63,0.87,3
"SYNTH_RF_0058",30,9.5,0.19,0.18,1
"SYNTH_RF_0058",34,10.22,0.15,0.98,1
"SYNTH_RF_0058",23,14,1.31,0.15,1
"SYNTH_RF_0058",26,13.07,0.18,0.1,1
"SYNTH_RF_0058",27,12.37,0.15,0.01,1
"SYNTH_RF_0058",36,8.26,0.51,0.21,1
"SYNTH_RF_0058",41,7.18,1.06,0.04,1
"SYNTH_RF_0058",35,12.56,0.38,0.33,1
"SYNTH_RF_0059",33,10.46,0.11,0.23,1
"SYNTH_RF_0059",35,6.08,0.27,0.49,1
"SYNTH_RF_0059",31,9.78,1.07,0.54,1
"SYNTH_RF_0059",31,8.28,1.07,0.37,1
"SYNTH_RF_0059",38,9.84,0.4,0.1,1
"SYNTH_RF_0059",21,12.92,0.18,0.13,1
"SYNTH_RF_0059",34,12.01,0.06,0.08,1
"SYNTH_RF_0059",42,1.09,0.21,0.02,1
"SYNTH_RF_0060",23,11.6,0.1,0.05,1
"SYNTH_RF_0060",16,10.5,0.04,1.42,1
"SYNTH_RF_0060",18,11.76,0.4,0.12,1
"SYNTH_RF_0060",32,9.69,0.9,0.03,1
"SYNTH_RF_0060",26,16.13,0.42,0.68,1
"SYNTH_RF_0060",32,10.86,0.02,0.07,1
"SYNTH_RF_0060",26,5.06,1,0.09,1
"SYNTH_RF_0060",34,8.96,0.82,0.21,1
